Title,Author,Date,Rating
FACT CHECK: NAIA was built during the administration of Pres. Ferdinand E. Marcos #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"July 10, 2022",Rating: FALSE
FACT CHECK: The Angat Buhay NGO is backed by the CPP-NPA-NDF #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"July 8, 2022",Rating: FALSE
FACT CHECK: Glufarelin milk can treat diabetes by controlling blood sugar levels #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"July 20, 2022",Rating: FALSE
FACT CHECK: VP Robredo calls the Barzagas traitors and idiots #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"April 13, 2022",Rating: FALSE
FACT CHECK: SMNI wins prestigious award for its presidential debate coverage #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"February 28, 2022",Rating: LACKS CONTEXT
FACT CHECK: VP Robredo expressed support for the Church of God’s discrimination against trans influencer Sass Sasot #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"June 24, 2022",Rating: FALSE
FACT CHECK: Leni liable for graft over Angat Buhay NGO #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"June 17, 2022",Rating: FALSE
FACT CHECK: Sandro Marcos wants OFWs to pay tax for gov't debt #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"March 29, 2022",Rating: FALSE
FACT CHECK: Oplan Baklas #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"February 21, 2022",Rating: PARTLY FALSE
FACT CHECK: Sara Duterte is the first incumbent mayor to become VP and the first from Mindanao #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"June 19, 2022",Rating: FALSE
FACT CHECK: 100 billion people attended BBM Grand Rally 2022 #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"March 25, 2022",Rating: Satire
FACT CHECK: Rappler violated the Constitution #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"July 12, 2022",Rating: MISSING CONTEXT
"FACT CHECK: Plaza Miranda, Rano Massacre were handiworks of the CPP-NPA-NDF, necessitating the declaration of Martial Law #FactsFirstPH - Baguio Chronicle",Baguio Chronicle,"July 10, 2022",Rating: PARTLY FALSE
"""Pinklawans"" defined as anti-progress, CPP-NPA supporters in Urban Dictionary - Baguio Chronicle",Baguio Chronicle,"May 30, 2022",Rating: FALSE
"FACT CHECK: Ferdinand “Bongbong” R. Marcos, Jr. was welcomed by 2 million Pangasinenses #FactsFirstPH - Baguio Chronicle",Baguio Chronicle,"February 28, 2022",Rating: FALSE
"FACT CHECK: Aquinos responsible for selling land, uses West Philippine sea as Dumpsite (Panambak) #FactsFirstPH - Baguio Chronicle",Baguio Chronicle,"June 28, 2022",Rating: FALSE
FACT CHECK: VP Robredo cannot remember pieces of legislation she filed as Camarines Sur Representative #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"May 31, 2022",Rating: FALSE
FACT CHECK: Ferdinand Marcos Sr. is a hero because he was buried at the Libingan ng Mga Bayani in 2016 #FactsFirstPH - Baguio Chronicle,Baguio Chronicle,"June 30, 2022",Rating: FALSE
