Title,Author,Date,Rating
FALSE: Pinagmumura ng netizens si Alan Peter Cayetano,Author not found,2022-06-24,FALSE
FACT CHECK:Â  Marcos did not order renaming of NAIA,Author not found,2023-05-06,FALSE
"FACT CHECK: No prediction of earthquakes to hit Baguio, several Luzon provinces",Author not found,2023-06-20,FALSE
FALSE: Si Ferdinand Marcos ang nagpatayo ng Philippine General Hospital,Author not found,2022-04-05,FALSE
FACT CHECK: Walang link para sa DSWD AKAP cash assistance,Author not found,2024-05-08,FALSE
FALSE: Sinabi ni Kim Henares na walang ill-gotten wealth ang mga Marcos,Author not found,2022-03-25,FALSE
FACT CHECK: Post falsely claims KathNiel breakup is just a 'prank',Author not found,2023-12-04,FALSE
"FACT CHECK: Video shows World Youth Day gathering, not Palestinian victims",Author not found,2023-11-20,FALSE
"FACT CHECK: Contrary to Cardema's claim, NYC received COA disallowance notices",Author not found,2023-10-04,FALSE
FALSE: Kay Robredo lang napapunta ang lahat ng boto ng ARMM noong 2016,Author not found,2022-04-01,FALSE
FALSE: 7.2 magnitude earthquake to hit Cagayan de Oro and Tagoloan River,Author not found,2022-04-26,FALSE
FACT CHECK: Japan is not gearing to attack North Korea,Author not found,2023-03-21,FALSE
FALSE: Tagapayo nina Leni Robredo at Barry Gutierrez si Joma Sison,Author not found,2022-04-24,FALSE
Davao City police denies posts about rampant hold-up incidents,Author not found,2022-08-31,FALSE
FACT CHECK: The Philippines has not been gifted tanks by the US in 2023,Author not found,2023-03-16,FALSE
FACT CHECK: No super typhoon in PH up until October 24,Author not found,2023-10-24,FALSE
"FACT CHECK: Aquinos, Allies Did Not Rule Philippines For 18 Years",Janvic Mateo,2022-02-11,UNAVAILABLE
FALSE: Tinutulan ni Robredo ang pagpapatayo ng Philippine Arena,Author not found,2022-04-07,FALSE
FACT CHECK: No re-announcement of Miss Universe 2023 Top 5 candidates,Author not found,2023-11-21,FALSE
FALSE: Inosente ang mga Marcos dahil napawalang-sala si Imelda,Author not found,2022-04-07,FALSE
Inquirer's report on shortage of armchairs at Jose Abad High School is true,Author not found,2022-08-25,FALSE
FACT CHECK: Marcos didn't show alleged gold bullion certificate in 2023 FFCCCII convention,Author not found,2023-06-09,FALSE
"FACT CHECK: Quezon, Marcos hosted refugees in PH mainland",Author not found,2023-07-04,FALSE
"FACT CHECK: No court order freed Badoy, Celiz from House detention",Author not found,2023-12-16,FALSE
"FACT CHECK: No ordinance banning Toyota Innova vehicles in Santa Maria, Bulacan",Author not found,2023-10-03,FALSE
FALSE: Pfizer does not produce the Comirnaty vaccine,Author not found,2022-06-17,FALSE
FACT CHECK: No 'illegal deductions' cited in DepEd memo on ACT teachers,Author not found,2023-07-10,FALSE
FALSE: Nakalulusot ang mga batang gumagawa ng krimen dahil sa batas na isinulong ni Pangilinan,Author not found,2022-04-19,FALSE
"FALSE: Dahil sa EDSA 1986, napabayaan ang mga pambansang unibersidad",Author not found,2022-04-23,FALSE
"FACT CHECK: DSWD's P15,000 cash grant only for small rice retailers",Author not found,2023-09-25,FALSE
FACT CHECK: PH is yet to surpass 100% rice self-sufficiency,Author not found,2023-06-24,FALSE
"FACT CHECK: Sandiganbayan, not Supreme Court, junked Marcos ill-gotten wealth case",Author not found,2023-07-01,FALSE
FACT CHECK: Marcoses barred from recovering forfeited assets,Author not found,2023-11-08,FALSE
Hindi bahagi ng e-service ng DSWD ang cash assistance program,Author not found,2022-09-20,FALSE
FALSE: Dinumog ng tagasuporta ni Marcos Jr. ang GMA station matapos ang Soho interviews,Author not found,2022-02-01,FALSE
FACT CHECK: Tubbataha ranger station construction not solely US-funded,Author not found,2023-09-28,MISLEADING
FACT CHECK: Walang demolition job laban kay VP Sara Duterte dahil sa confidential funds,Author not found,2023-10-24,FALSE
FACT CHECK: EMBO public school students can still wear Makati uniforms,Author not found,2024-01-05,FALSE
"FACT CHECK: Video shows Singapore military vehicles, not donations from Japan",Author not found,2023-02-23,FALSE
All PH presidents in the past 19 years were invited to the White House,Author not found,2022-12-07,FALSE
FALSE: Ipinagbawal ni Isko Moreno na lumabas ang mga tao para sa caravan ni Marcos Jr.,Author not found,2022-02-26,FALSE
FACT CHECK: BRP Sierra Madre remains in Ayungin Shoal,Author not found,2023-08-17,FALSE
FACT CHECK: Hindi pinag-usapan sa Senate hearing ang last will ni Marcos,Author not found,2023-01-17,FALSE
FALSE: Marcos was a guerrilla leader during World War II,Author not found,2021-03-24,FALSE
FALSE: Si Ferdinand Marcos ang pinakamayamang tao sa mundo,Author not found,2022-02-17,FALSE
FACT CHECK: Romualdez not replaced as House Speaker,Author not found,2024-01-22,FALSE
FACT CHECK: PH did not send helicopters for Israel's war vs Hamas,Author not found,2023-11-08,FALSE
"FACT CHECK: Contrary to claims, Russian mercenary Prigozhin is dead",Author not found,2023-09-05,FALSE
